 	Label	X	Y	Major	Minor	Angle
63	CombinedStack-1.tif:YPD_042715_015_RFPstack_052	115.596	161.245	105.245	84.564	80.646
64	CombinedStack-1.tif:YPD_042715_015_RFPstack_053	121.818	117.195	103.135	76.195	164.683
65	CombinedStack-1.tif:YPD_042715_015_RFPstack_054	128.511	115.733	121.449	104.324	60.670
66	CombinedStack-1.tif:YPD_042715_015_RFPstack_054	141.502	188.910	29.788	26.672	83.585
67	CombinedStack-1.tif:YPD_042715_017_RFPstack_056	156.357	95.666	36.884	32.622	156.286
68	CombinedStack-1.tif:YPD_042715_017_RFPstack_056	117.267	142.043	90.842	83.423	36.390
69	CombinedStack-1.tif:YPD_042715_017_RFPstack_057	145.006	77.038	22.774	19.009	64.318
70	CombinedStack-1.tif:YPD_042715_017_RFPstack_057	124.426	130.664	99.816	79.189	60.240
71	CombinedStack-1.tif:YPD_042915_003_RFPstack_059	112.661	78.482	68.856	61.169	120.265
72	CombinedStack-1.tif:YPD_042915_003_RFPstack_059	129.986	159.281	102.675	81.721	84.991
73	CombinedStack-1.tif:YPD_042915_005_RFPstack_060	84.187	101.263	88.628	72.333	170.286
74	CombinedStack-1.tif:YPD_042915_005_RFPstack_060	174.573	133.961	117.706	81.096	152.708
75	CombinedStack-1.tif:YPD_042915_005_RFPstack_061	131.113	90.557	110.042	87.195	15.656
76	CombinedStack-1.tif:YPD_042915_005_RFPstack_061	99.303	167.623	83.896	67.642	79.213
77	CombinedStack-1.tif:YPD_042915_007_RFPstack_062	89.606	97.876	63.452	55.022	163.399
78	CombinedStack-1.tif:YPD_042915_007_RFPstack_062	141.380	132.095	100.038	94.681	27.881
79	CombinedStack-1.tif:YPD_042915_007_RFPstack_063	101.523	85.344	86.101	73.554	108.319
80	CombinedStack-1.tif:YPD_042915_007_RFPstack_063	142.598	152.213	103.383	90.114	118.791
81	CombinedStack-1.tif:YPD_042915_007_RFPstack_064	128.092	118.393	99.598	89.473	74.701
82	CombinedStack-1.tif:YPD_042915_011_RFPstack_066	121.602	113.526	110.020	79.899	80.095
83	CombinedStack-1.tif:YPD_042915_011_RFPstack_066	118.878	176.144	34.342	28.955	50.478
84	CombinedStack-1.tif:YPD_042915_013_RFPstack_067	126.453	125.877	83.946	72.500	81.675
85	CombinedStack-1.tif:YPD_042915_013_RFPstack_068	165.715	110.468	93.366	76.204	22.775
86	CombinedStack-1.tif:YPD_042915_013_RFPstack_068	87.112	142.592	72.885	66.174	22.338
87	CombinedStack-1.tif:YPD_042915_017_RFPstack_071	83.847	96.687	59.591	55.189	163.364
88	CombinedStack-1.tif:YPD_042915_017_RFPstack_071	152.074	141.078	98.226	89.829	172.511
89	CombinedStack-1.tif:YPD_042915_017_RFPstack_072	139.102	89.673	25.555	23.268	68.849
90	CombinedStack-1.tif:YPD_042915_017_RFPstack_072	108.963	126.656	89.936	72.669	58.153
91	CombinedStack-1.tif:YPD_042915_017_RFPstack_073	129.670	124.075	108.205	88.805	156.158
92	CombinedStack-1.tif:YPD_042915_017_RFPstack_074	129.846	128.522	103.077	87.195	159.868
93	CombinedStack-1.tif:YPD_042915_017_RFPstack_075	131.957	126.119	84.477	71.170	54.721
94	CombinedStack-1.tif:YPD_042915_019_RFPstack_077	128.216	119.472	98.639	62.901	3.168
95	CombinedStack-1.tif:YPD_042915_021_RFPstack_078	100.864	75.784	63.005	53.795	114.799
96	CombinedStack-1.tif:YPD_042915_021_RFPstack_078	122.957	146.629	103.745	87.382	99.397
97	CombinedStack-1.tif:YPD_042915_021_RFPstack_079	142.525	107.605	108.433	86.094	42.549
98	CombinedStack-1.tif:YPD_042915_021_RFPstack_079	87.277	147.537	47.788	43.855	71.788
99	CombinedStack-1.tif:YPD_042915_021_RFPstack_080	126.170	119.510	111.238	90.813	48.223
100	CombinedStack-1.tif:YPD_042915_024_RFPstack_082	132.111	123.908	117.977	87.989	177.966
101	CombinedStack-1.tif:YPD_042915_024_RFPstack_082	82.437	164.012	34.223	28.201	32.581
102	CombinedStack-1.tif:YPD_042915_024_RFPstack_083	123.565	127.558	97.273	72.777	43.140
103	CombinedStack-1.tif:YPD_052315_001_RFPstack_001	87.629	98.745	71.837	56.611	165.020
104	CombinedStack-1.tif:YPD_052315_001_RFPstack_001	151.992	136.373	107.096	83.792	93.117
105	CombinedStack-1.tif:YPD_052315_001_RFPstack_002	77.251	132.876	56.476	49.463	168.579
106	CombinedStack-1.tif:YPD_052315_001_RFPstack_002	142.182	135.496	100.292	80.590	5.121
107	CombinedStack-1.tif:YPD_052315_003_RFPstack_003	142.783	73.233	38.999	37.055	110.595
108	CombinedStack-1.tif:YPD_052315_003_RFPstack_003	133.532	138.148	98.286	70.887	92.319
109	CombinedStack-1.tif:YPD_052315_003_RFPstack_004	127.305	97.533	110.986	86.259	94.774
110	CombinedStack-1.tif:YPD_052315_003_RFPstack_004	140.010	173.178	53.654	48.553	121.212
111	CombinedStack-1.tif:YPD_052315_003_RFPstack_005	106.255	101.696	92.654	88.621	53.136
112	CombinedStack-1.tif:YPD_052315_003_RFPstack_005	153.141	168.496	82.517	68.309	109.848
113	CombinedStack-1.tif:YPD_052315_005_RFPstack_006	122.925	127.508	92.227	80.445	120.985
114	CombinedStack-1.tif:YPD_052315_005_RFPstack_007	123.459	99.814	111.985	94.460	82.727
115	CombinedStack-1.tif:YPD_052315_005_RFPstack_007	152.078	168.959	62.182	59.524	107.209
116	CombinedStack-1.tif:YPD_052315_005_RFPstack_008	131.544	85.032	122.221	92.768	94.555
117	CombinedStack-1.tif:YPD_052315_005_RFPstack_008	129.711	180.324	97.180	75.690	61.279
118	CombinedStack-1.tif:YPD_052315_007_RFPstack_010	105.518	90.907	85.013	65.854	175.553
119	CombinedStack-1.tif:YPD_052315_007_RFPstack_010	146.383	159.700	91.900	84.028	106.351
120	CombinedStack-1.tif:YPD_052315_009_RFPstack_011	93.832	79.923	83.080	67.738	141.236
121	CombinedStack-1.tif:YPD_052315_009_RFPstack_011	151.051	150.223	114.662	83.771	96.205
122	CombinedStack-1.tif:YPD_052315_009_RFPstack_012	105.249	78.025	55.038	47.355	111.170
123	CombinedStack-1.tif:YPD_052315_009_RFPstack_012	125.934	153.594	101.111	79.710	91.251
124	CombinedStack-1.tif:YPD_052315_011_RFPstack_013	101.969	101.756	115.642	95.689	90.185
125	CombinedStack-1.tif:YPD_052315_011_RFPstack_013	155.895	167.216	71.983	59.962	122.966
126	CombinedStack-1.tif:YPD_052315_011_RFPstack_014	163.117	127.897	100.305	83.538	6.974
127	CombinedStack-1.tif:YPD_052315_011_RFPstack_014	84.300	134.949	70.173	51.947	2.814
128	CombinedStack-1.tif:YPD_052315_013_RFPstack_015	142.391	114.487	110.562	83.376	43.454
129	CombinedStack-1.tif:YPD_052315_013_RFPstack_015	85.203	158.381	52.774	43.934	47.112
130	CombinedStack-1.tif:YPD_052315_013_RFPstack_016	90.884	71.950	89.947	73.466	111.505
131	CombinedStack-1.tif:YPD_052315_013_RFPstack_016	131.205	163.660	131.475	82.423	133.116
